SLCAN,SLCAT,CONTEXT
AAL,NST,"Ambient Assisted Living: ein Sammelbegriff für Assistenzsysteme, die älteren Menschen ermöglichen, möglichst lange ein selbstbestimmtes Leben in den eigenen vier Wänden zu führen oder chronisch Kranken anstrengende und teure Wege zu Ärzten und Therapeuten ersparen. Sie sichern den Zugang zu Hilfsleistungen im häuslichen Alltag oder im Rahmen von Pflege, Prävention und Rehabilitation."
Abgeleiteter Grenzwert,NST,"Weil Basisgrenzwerte oft nur schwer zu messen und zu kontrollieren sind, werden Grenzwerte für die ""verursachenden Größen"" abgeleitet. Diese abgeleiteten Grenzwerte gelten für das elektrische und magnetische Feld außerhalb des Körpers im freien Raum. Sie gewährleisten, dass die SAR-Basisgrenzwerte innerhalb des Körpers unter keinen Umständen überschritten werden."
ADSL,NST,"Asymmetric Digital Subscriber Line ermöglicht anhand einer asymmetrischen Übertragungsmethode die Datenübertragung mit hohen Geschwindigkeiten über herkömmliche Telefonleitungen (Kupferdoppeladern).ADSL eignet sich besonders gut für den Internetzugang, bei dem der Teilnehmer große Datenmengen aus dem Netz abruft, jedoch vergleichsweise geringe Mengen zurücksendet."
AKAD,NST,"AKAD ist ein Hochschulverbund für Fernstudiengänge, der berufsbegleitende Aus- und Weiterbildungen anbietet.Die AKAD ist ein Kooperationspartner der Telekom für das berufsbegleitende Studium.Bologna@Telekom"
All-IP,NST,"Der All-IP-Anschluss basiert auf dem Internet Protocol (IP) und wird von der Deutschen Telekom zum Standardanschluss für vernetztes Leben und Arbeiten ausgebaut. Charakteristisch für All-IP-Netze ist, dass alle Dienste wie Voice over IP und IP TV, Online-Spiele, Datentransfer oder multimediale Mails über das Internet laufen und von jedem Benutzer zu jeder Zeit an jedem beliebigen Ort abgerufen werden können. Siehe auch IP, Voice over IP und IP TV."
Android,NST,"Griechisch androides - ""menschenähnlich"": ein Betriebssystem, das in vielen aktuellen Smartphones mit Ausnahme des Apple iPhone und des Windows Phone zur Anwendung kommt. Es ist seit 2007 unter der Federführung von Google entwickelt worden. Android ist das einzige offene Smartphone-Betriebssystem, das heißt, Android-Nutzer können Software auch aus anderen Quellen beziehen - zum Beispiel Apps aus dem Telekom Kundencenter."
App,NST,"App ist die Kurzform für Applikation.Dabei handelt es sich um Anwendungsprogramme, die man auf einem mobilen Endgerät (Smartphone oder Tablet) nutzen kann. Man kann sie sich aus einem App-Store auf das Gerät runterladen."
Application Management,NST,"Hierbei prüfen Experten der Telekom, ob ähnliche Geschäftsprozesse vereinheitlicht werden können, um die Zahl unterschiedlicher Anwendungen zu verringern. Dadurch können Kosten in Unternehmen gesenkt und Arbeitsabläufe effizienter gestaltet werden."
Assessment Center,NST,"Wenn Sie sich bei uns beispielsweise für das Start up! Programm beworben haben, werden Sie von uns zum Assessment Center eingeladen. Hierbei wollen wir Sie gerne näher kennenlernen und zum Beispiel sehen, wie Sie im Team arbeiten."
AT&T-Transaktion,NST,Zur AT&T-Transaktion im Zusammenhang mit T-Mobile USA sowie zu den Auswirkungen der Auflösung des Kaufvertrags über die Veräußerung der damaligen T-Mobile USA an AT&T siehe Geschäftsbericht 2011.
Athermische-Effekte,NST,"Mögliche Effekte elektromagnetischer Felder, die keine oder eine nicht messbare Erhöhung der Körpertemperatur bewirken. Ihre Existenz wird in der Wissenschaft kontrovers diskutiert und allgemein als nicht gesichert angesehen."
Automotive,NST,"Automotive ist die generelle Bezeichnung für alle Aktivitäten im Bereich von Zulieferteilen, -produkten oder -dienstleistungen im Bereich der Automobilindustrie."
Bachelor-Thesis,NST,"Die Bachelor-Thesis ist die Abschlussarbeit am Ende des Bachelorstudiums. Die Telekom bietet die Möglichkeit, diese Abschlussarbeit praxisnah und mit entsprechender Betreuung im Unternehmen zu schreiben."
Backbone,NST,"Unverzichtbarer Teil einer überregionalen oder globalen Netzkonfiguration zur Verbindung lokaler Subnetze, in der Regel mit hohen Geschwindigkeiten (im Mbit/s- und Gbit/s-Bereich)."
Bandbreite,NST,"Bezeichnet die Übertragungsleistung eines Leitungssystems und wird in BIT /s, bzw. in MBit /s angegeben. Ausreichende Bandbreite ist die Voraussetzung für reibungslose Datenkommunikation."
Basisgrenzwert,NST,"Gibt den maximal zulässigen Wert an, mit dem elektromagnetische Felder auf den Menschen einwirken dürfen. Der Basisgrenzwert wird in der ""Spezifischen Absorptionsrate"" (SAR) ausgedrückt. Da er in der Praxis nur schwer messbar ist, werden abgeleitete Grenzwerte bevorzugt. Um auch den Schutz besonders sensibler Menschen zu berücksichtigen, sind im Basisgrenzwert Sicherheitszuschläge enthalten."
Basisstation,NST,"Sende- und Empfangsanlage für den Mobilfunk, die ein begrenztes Gebiet (Funkzelle) versorgt."
Betreute Server,NST,"Computing & Desktop Services des operativen Segments ­Geschäftskunden. Umfasst alle Systeme, die physikalischen und die logischen ­(virtuellen) Systeme."
BfS,NST,Bundesamt für Strahlenschutz
Big Data,NST,"Als Big Data werden besonders große Datenmengen bezeichnet, die mit Hilfe von Standard-Datenbanken und Daten-Management-Tools nicht oder nur unzureichend verarbeitet werden können. Durch entsprechende IT-Anwendungen lassen sie sich aber speichern und auswerten. So können beispielsweise Unternehmen Forenbeiträge im Internet oder interne Betriebs- und Maschinendaten analysieren, um ihre Strategie sowie Strukturen und Prozesse zu optimieren."
BImSchV,NST,Bundesimmissionsschutzverordnung
Bitstromzugang,NST,"Der Bitstromzugang (auch Bitstream Access engl. )ist ein Vorleistungsprodukt, mit dem alternative Telefongesellschaften Breitband-Anschlüsse realisieren können."
Bluetooth,NST,"Ein Nahbereichsfunkstandard, der in seinen Grundzügen bereits 1994 entstand, als der Ingenieur Japp Haartsen von seinem Arbeitgeber Ericsson den Auftrag erhielt, eine Funkverbindung zwischen Kopfhörer und Mobiltelefon zu entwickeln.Der aus dieser Arbeit resultierende Cable Replacement Standard wurde dann 1997 in Anlehnung an den dänischen Wikingerkönig Harald Blauzahn (915 bis 986) in Bluetooth umbenannt."
BMUB,NST,"Das Bundesministerium für Umwelt, Naturschutz, Bau und Reaktorsicherheit.Kurzform: Bundesumweltministerium."
BNetzA,NST,"Bundesnetzagentur: Die ""Bundesnetzagentur für Elektrizität, Gas, Telekommunikation, Post und Eisenbahnen"", abgekürzt BNetzA, reguliert als Bundesoberbehörde unter anderem Post und Telekommunikation.Ihre Aufgabe ist es, durch Liberalisierung und Deregulierung die weitere Entwicklung etwa des Telekommunikationsmarktes zu fördern. Außerdem ist sie zuständig für Standortgenehmigungsverfahren beim Ausbau des Mobilfunknetzes."
Bologna@Telekom,NST,"Mit der Initiative ""Bologna@Telekom"" unterstützen wir das berufsbegleitende Studium unserer Mitarbeiter. Dabei werden Bachelor- und Master-Studiengänge verschiedener Fachrichtungen gefördert.Berufsbegleitendes Studium"
Bundesnetzagentur,NST,"Die ""Bundesnetzagentur für Elektrizität, Gas, Telekommunikation, Post und Eisenbahnen"" reguliert als Bundesoberbehörde unter anderem Post und Telekommunikation. Ihre Aufgabe ist es, durch Liberalisierung und Deregulierung die weitere Entwicklung etwa des Telekommunikationsmarktes zu fördern. Außerdem ist sie zuständig für Standortgenehmigungsverfahren beim Ausbau des Mobilfunknetzes (Funkmasten)."
BYOD (Bring your own Device),NST,"BYOD ist eine Organisationsrichtlinie, die den Einsatz von privat genutzten elektronischen Endgeräten wie Smartphones, Notebooks oder Tablets im Unternehmen regelt. Dieser Trend wird die Arbeitsweise und IT-Struktur der Unternehmen grundlegend verändern und erfordert besondere Sorgfalt bei der Datensicherheit."
CAD,NST,"Computer Aided Design: Computerunterstütztes Entwerfen, Konstruieren und Entwickeln in Gebieten wie Architektur, Bauwesen, Maschinenbau usw. CAD zeichnet sich durch eine sehr weit entwickelte graphische Datenverarbeitung aus."
Call-by-Call,NST,"Englisch wörtlich ""Anruf-für-Anruf"": die Möglichkeit, einzelne Telefongespräche oder Internetverbindungen über einen anderen Anbieter als den des Telefonanschlusses zu führen und abzurechnen. In Deutschland ist das als reguläres Verfahren ausschließlich über die Festnetzanschlüsse der Deutschen Telekom möglich."
Call Center,NST,"Ein Call Center bezeichnet einen Unternehmensbereich oder ein eigenständiges Unternehmen, in dem Marktkontakte telefonisch aktiv (outbound) oder passiv (inbound) hergestellt werden. In einem Call Center wird neben Serviceangeboten auch häufig Telefonverkauf als Form des Direktmarketing operativ umgesetzt."
Careerloft,NST,"Careerloft ist ein Karriere-Netzwerk, welches talentierte Studenten und Absolventen aus verschiedenen Bereichen mit Unternehmen wie der Telekom zusammenbringt.Mehr zu Careerloft"
Career's Best Recruiters,NST,"Als ""Career's Best Recruiters"" werden die erfolgreichsten deutschen und österreichischen Unternehmen im Hinblick auf ihre Recruiter Qualitäten ausgezeichnet. Die Deutsche Telekom erreichte dabei 2011/2012 im Gesamtranking Platz 2."
Carrier,NST,Bezeichnet einen Betreiber von Telekommunikationsnetzwerken.
Cash Capex,NST,Investitionen in Sachanlagen und immaterielle Vermögenswerte (ohne Goodwill) laut Kapitalflussrechnung.
CI/CD,NST,"Corporate Identity/Corporate Design.Die Corporate Identity (""Firmenpersönlichkeit"") repräsentiert die Gesamtheit der Charakteristika eines Unternehmens. Das Konzept der ""CI"" beruht auf der Idee, dass Unternehmen wie Persönlichkeiten wahrgenommen werden und ähnlich wie solche handeln können. Typischerweise umfasst die CI die Unternehmensphilosophie, das Leitbild, die Begrifflichkeiten, die Handlungsrichtlinien. CI ist eng verzahnt mit dem Corporate Design (CD), das die Außendarstellung des Unternehmens definiert, etwa in Erstellung und Einsatz eines Logos oder einheitlicher Gestaltungsvorgaben für Druckwerke."
Cloud,NST,"Beim Cloud Computing erhält der Nutzer das, was er zuvor lokal auf seinem Rechner hatte, nun aus dem Internet, beispielsweise Textprogramme, Antivirensoftware oder Speicherplatz. Unabhängig davon, wo sich ein Anwender gerade befindet oder welches Endgerät (PC, Notebook, Tablet oder Smartphone) er gerade einsetzt. Entscheidend ist lediglich ein Internet-Zugang, um auf die Cloud zu zugreifen, die seine Applikationen zur Verfügung stellt."
Connected Car,NST,"Die Vernetzung von Fahrzeugen mit Hilfe mobiler Internetanschlüsse. Die Insassen können damit zum Beispiel E-Mails empfangen und versenden, sich über Staus und freie Parkplätze informieren oder eine Ferndiagnose der Werkstatt einholen. Ab 2015 soll zudem in jeden Neuwagen das Notrufsystem eCall eingebaut werden. Voraussetzung ist in jedem Fall eine fest verbaute SIM-Karte (Mobilfunk) im Fahrzeug und die Ausstattung mit einem GPS-Modul."
Connected Home,NST,Die Vernetzung von Geräten und Funktionen in Haushalten oder kompletten Wohnhäusern. Mit Smartphone oder Tablet-PC können sie auch aus der Ferne ein- oder ausgeschaltet werden. So lassen sich die Heizung schon von unterwegs aus regeln oder die Jalousien aus dem Urlaub steuern. Die Deutsche Telekom hat alle entsprechenden Funktionen in der Home Management Plattform QIVICON zusammengefasst.
Corporate Governance,NST,"Corporate Governance gewährleistet verantwortliche, qualifizierte, transparente und auf den langfristigen Erfolg ausgerichtete Unternehmensführung und soll so das Vertrauen von Aktionären und Investoren in den Kapitalmarkt stärken."
Corporate Network,NST,"Auch als Corporate Telecommunications Network (CTN) bezeichnet.Dabei handelt es sich um ein Telekommunikationsnetz für eine begrenzte Nutzeranzahl. Ein Corporate Network ist zumeist an die Bedürfnisse von Unternehmen oder Unternehmensgruppen speziell angepasst. Die Netzleistungen/-dienste, die Abrechnung, die Bereitstellung und das Management eines Corporate Networks unterscheiden sich im Allgemeinen von denen, die ein öffentlich zugängliches Netz (""Öffentliches Netz"") charakterisieren."
CRM (Customer Relationship Management),NST,"Customer Relationship Management, zu deutsch: Kundenbeziehungsmanagement.CRM unterstützt die Kommunikation im Kundenprozess mit verlässlichen Daten, um die Aufmerksamkeit in Beziehungen mit einem hohen Kundenwert zu konzentrieren und Schwachstellen im Dialog mit dem Kunden zu identifizieren. Ziel ist eine langfristige Kundenbindung."
CSP,NST,"Das CSP (Center for Strategic Projects) ist das Inhouse Consulting der Deutschen Telekom.Der Bereich tritt als interne Beratung auf, mit dem Ziel die Telekom kontinuierlich zu transformieren, um im extrem dynamischen Telekommunikationsmarkt zukunftsfähig zu bleiben. Das CSP unterstützt also die Umsetzung neuer Strategien und Konzepte für alle Geschäftsbereiche."
CTI,NST,"Computer and Telephone Integration ist die Sammelbezeichnung für telefonische Kommunikationsanwendungen (Arbeitsplatzlösungen), die mit Hilfe eines PC die Abwicklung von Telefongesprächen komfortabler und rationeller gestalten.Zu den Funktionalitäten der CTI zählen beispielsweise das Wählen aus einer Datenbank, das Anzeigen von Gesprächsnotizen bei ankommenden Rufen sowie das Aufzeichnen von Notizen während des Gespräches. Weiterhin besteht die Möglichkeit, Telefonfunktionen, wie Anrufweiterschaltung oder Konferenzschaltung direkt am PC zu aktivieren."
Cyber Security,NST,Sicherheit gegen Internet-Kriminalität.
DAB (Digital Audio Broadcasting),NST,"Internationaler Standard für die digitale Hörfunkübertragung. DAB bietet im Vergleich zum analogen Standard (FM bzw. UKW) bessere Klangqualität (auf CD-Niveau), eine effizientere Ausnutzung des Kanalrasters sowie die Möglichkeit, Zusatzinformationen wie beispielsweise Verkehrsinformationen oder textbasierte Kurznachrichten parallel zu übertragen."
Datenschutz,NST,"Datenschutz bezeichnet den Schutz personenbezogener Daten vor Missbrauch. Das Ziel ist, den Einzelnen davor zu schützen, dass er durch den Umgang mit seinen personenbezogenen Daten in seinem Recht auf informationelle Selbstbestimmung beeinträchtigt wird."
Datensicherung,NST,"Unter Datensicherung (Backup) versteht man das Kopieren der in einem Computersystem vorhandenen Daten auf ein alternatives (häufig transportables) Speichermedium. Dort werden diese dauerhaft (nicht unbegrenzt) mit dem Ziel aufbewahrt, den Datenverlust bei Systemausfällen zu begrenzen."
DECT,NST,"Digital Enhanced Cordless Telecommunications: Der 1992 vom Europäischen Institut für Telekommunikationsnormen (ETSI) verabschiedete Übertragungsstandard für schnurlose Heimtelefone zeichnet sich gegenüber dem System der älteren Analogfunkgeräte durch höhere Übertragungs- und Abhörsicherheit aus. DECT-Telefone arbeiten im Mikrowellen-Frequenzbereich zwischen 1,88 GHz und 1,9 GHz bei einer Sendeleistung von 0,25 W."
De-Mail oder elektronische Signatur,NST,"Eine Technik zur sicheren, vertraulichen und nachweisbaren Kommunikation im Internet. Sie funktioniert nach dem gleichen Prinzip wie eine E-Mail, doch im Unterschied zu dieser gelten gesetzliche Vorgaben zur Nachweisbarkeit der Kommunikation. So müssen sich alle Teilnehmer vor der ersten Nutzung des Dienstes eindeutig identifizieren. Außerdem besteht die Möglichkeit, beim Provider eine Sende- und Empfangsbestätigung anzufordern. Damit entspricht De-Mail einem Einschreiben im Bereich der Briefpost."
Deutschlandstipendium,NST,"Das Deutschlandstipendium ist ein Förderangebot der Bundesregierung für talentierte und sozial engagierte Studenten bestimmter Hochschulen.Es wird von der Telekom mit finanziellen Mitteln unterstützt und richtet sich vor allem an Studierende der MINT-Fachrichtungen (Mathematik, Physik sowie Informations- und Kommunikationstechnik)."
Desktop Services,NST,Global Desktop Services umfassen Service-Leistungen bis zum Outsourcing der IT-Infrastruktur. Die Deutsche Telekom tritt hierbei als Komplettanbieter auf und stellt von der Server-Infrastruktur über die einzelnen ­Arbeitsplatz-PCs bis hin zu Applikations-Management und Callcenter-Diensten für Anwender-Support ein integriertes Portfolio rund um die Unternehmens-IT zur Verfügung.
Dialogmarketing,NST,"Dialogmarketing ist eine Form des Direktmarketings. Vor allem in unserem Deutschen Telekom Kundenservice arbeiten Experten, die sich im Rahmen des Dialogmarketings um verschiedene Bedarfe unserer Kunden kümmern. Außerdem bieten wir Ausbildungsplätze zum Kaufmann/-frau für Dialogmarketing und zur Servicefachkraft für Dialogmarketing an."
Digitale Dividende,NST,"Der Frequenzbereich von 790 bis 862 MHz ist durch die Digitalisierung des Rundfunks bzw. Fernsehens und durch die Freigabe des Militärfunks frei geworden und wird daher ""Digitale Dividende"" genannt.Dieser Frequenzbereich eignet sich besonders gut für die mobile Breitbandversorgung in ländlichen Gebieten. Die Funksignale können sich im niedrigen Frequenzbereich besser ausbreiten, sodass eine Basisstation ein größeres Gebiet versorgen kann. Dadurch sind weniger Basisstationen in der Fläche notwendig, und ein wirtschaftlicher Ausbau ist möglich."
Digitale Netze,NST,"Im Gegensatz zur analogen Übermittlung übertragen sie Informationen (Sprache, Bilder, Töne) digitalisiert, also in Form von Nullen und Einsen. Dazu gehören z.B. die D- und E-Netze des Mobilfunks."
Direkteinstieg,NST,Mit dem Direkteinstieg bei der Telekom haben Hochschulabsolventen die Möglichkeit direkt im Job durchzustarten.Die Absolventen erhalten zusätzlich unterschiedliche Angebote – vom Coaching durch den Vorgesetzten bis hin zum eigenen Weiterbildungsbudget.
Diversität/Diversity,NST,"Diversity, d.h. Vielfalt, ist ein wichtiger Aspekt in der Unternehmenskultur der Telekom."
DMF,NST,Deutsches Mobilfunk Forschungsprogramm (www.emf-forschungsprogramm.de)
Downlink,NST,Downlink bezeichnet die Funkverbindung von der Basisstation hin zum mobilen Endgerät (z. B. Handy oder Smartphone).
DSL,NST,"Digital Subscriber Line, zu deutsch: digitale Teilnehmerleitung. Eine Technologie, mit der hohe Übertragungsbandbreiten für Privatwohnungen und kleine Unternehmen über gewöhnliche Kupfertelefonleitungen verfügbar gemacht werden können. Siehe auch ADSL."
Duales Studium,NST,"Das duale Studium verbindet die Theorie mit der Praxis! Die Deutsche Telekom bietet duale Studiengänge mit Schwerpunkt Wirtschaftsinformatik, Betriebswirtschaftslehre oder Informations- und Kommunikationstechnologie an."
DVB-C (Digital Video Broadcasting - Cable),NST,"DVB-C bezeichnet eine Variante von DVB, die für die Übertragung von digitalen Mehrwertdiensten über Kabelanschluss verwendet wird. In der Regel ist das die digitale Aussendung von Fernsehsignalen. Bei aktuellen TV-Geräten sind Kabelempfänger bereits eingebaut."
DVB-S (Digital Video Broadcasting - Satellite),NST,DVB-S ist ist die Bezeichnung für die Ausstrahlung von Digitalem Videorundfunk per Satellit.
DVB-T (Digital Video Broadcasting - Terrestrial),NST,"Abkürzung für Digital Video Broadcasting-Terrestrial - bezeichnet die terrestrische (= erdgebundene) Verbreitung der Fernsehsignale in der Atmosphäre und ist eine Variante des DVB, die als Standard für die Übertragung von digitalem Fernsehen und Hörfunk per Antenne verwendet wird."
DVB-H (Digital Video Broadcasting - Handheld),NST,"Standard für digitales TV für mobile Endgeräte, z.B. PDAs oder Handys."
Dynamic Services,NST,"Dynamic Services ist ein Angebot zur variablen Bereitstellung von ICT Ressourcen und Leistungen durch T-Systems. Das kann beispielsweise Rechenkapazität, Datenservices samt Speicherkapazität oder die Bereitstellung einer Anwendung wie SAP inkl. Managed Services sein.Die Bereitstellung der Leistungen erfolgt dabei bedarfsgerecht entsprechend des Verbrauchs der Kunden und kann variabel nach oben oder unten angepasst werden. Kapazitäts-Engpässe werden beseitigt, die Flexibilität gesteigert und die Kosten werden auf die tatsächlich benötigte Verbrauchsmenge reduziert. Die IT Leistungen können so ideal dem Geschäftsverlauf angepasst werden."
Dynamische Regelung der Sendeleistung,NST,Im Mobilfunk passen Basisstationen und mobile Endgeräte ihre Sendeleistung automatisch an die jeweiligen Übertragungsverhältnisse an.
E-Government,NST,"Kurz für Electronic Government.Eine Form des E-Business mit der Möglichkeit, mit staatlichen Behörden über das Internet oder sonstige Netze (Bürgernetz, Landkreisnetz) elektronisch zu kommunizieren und zu kooperieren (z.B. interaktive Abwicklung von Verwaltungsprozessen). Darüber hinaus umfasst das E-Government auch die elektronische Kommunikation und Kooperation zwischen den Behörden und vergleichbaren staatlichen Institutionen."
E-Health,NST,"Unter E-Health bezeichnet man alle Bestrebungen, die Gesundheitsversorgung durch den Gebrauch von Informations- und Kommunikationstechnologie zu verbessern."
EDGE,NST,Enhanced Data Rates for GSM Evolution (EDGE) bezeichnet eine Technik zur Erhöhung der Datenrate in GSM-Mobilfunknetzen durch Einführung eines zusätzlichen Modulationsverfahrens. Mit EDGE werden GPRS zu E-GPRS (Enhanced GPRS) und HSCSD zu ECSD (Enhanced Circuit Switched Data) erweitert.
EEG-Anlagen,NST,"Das deutsche Gesetz für den Ausbau erneuerbarer Energien (Erneuerbare-Energien-Gesetz, EEG 2017) regelt die bevorzugte Einspeisung von Strom aus erneuerbaren Quellen ins Stromnetz und garantiert deren Erzeugern feste Einspeisevergütungen. Beim EEG 2017 werden ökonomische und ökologische Effizienz sowie Teilaspekte wie Ausnahmeregelungen für die Industrie kontrovers diskutiert."
EEG,NST,"1. Elektroenzephalogramm, Methode zur Messung von Hirnströmen.2. Erneuerbaren Energien Gesetz"
eGK,NST,Abkürzung für elektronische Gesundheitskarte.
