SLCAN,SLCAT,CONTEXT
AAL,NST,"Ambient Assisted Living: A generic term for assistance systems that enable the elderly to live independently in their own home for as long as possible or help ensure that the chronically ill do not have to make strenuous, expensive journeys to physicians and care providers. They provide access to help in everyday situations in the home or as part of care, prevention, and rehabilitation."
ADSL,NST,"Asymmetric Digital Subscriber Line - Using an asymmetrical transmission method, allows high-speed data transmission over conventional telephone lines (copper pair cables).ADSL is particularly suitable for Internet access where subscribers download large amounts of data from the net but upload relatively small volumes of data."
All-IP,NST,"The All-IP connection is based on the Internet Protocol (IP) and is being rolled out by Deutsche Telekom to create a standard connection for connected life and work. The hallmark feature of All-IP networks is that all services such as Voice over IP and IP TV, online games, data transfer, or multimedia e-mails take place over the Internet and can be accessed by any user, anytime and anywhere. See also IP, Voice over IP and IP TV."
Android,NST,"Androides in Greek - ""human-like"": an operating system used in many of the latest smartphones except for the Apple iPhone and the Windows Phone. It has been developed under Google's lead since 2007. Android is the only open smartphone operating system, i.e. Android users can also acquire software from other sources - for instance apps from the Telekom Customer Center."
Apps,NST,"""Apps"" stands for applications. These are small application programs that can be used, for instance, on smart phones or tablets and can be downloaded from an App Store."
AT&T Transaction,NST,"For details on the AT&T transaction relating to T-Mobile USA and the effects of the termination of the agreement on the sale of the former T-Mobile USA to AT&T, please refer to the 2011 Annual Report"
Association agreement,NST,"Agreement concluded in 2001 between the local government central associations – the German Association of Cities and Towns, the German County Association, and the German Association of Towns and Municipalities – and the mobile network operators, giving communities a say in mobile network expansion."
Automotive,NST,"""Automotive"" is the generic term for all activities in the sectors that supply components, products or services to the automotive industry."
Backbone,NST,"Indispensable portion of a trans-regional or global network configuration for connecting local sub-networks, at high speed as a rule (in the Mbit/s and Gbit/s range)."
Bandwidth,NST,This term denotes the transmission performance of a line system and is specified in bits/s or Mbit/s. Sufficient bandwidth is a prerequisite for trouble-free data communication.
Basic limit,NST,"Denotes the maximum permissible value with which electromagnetic fields may have an effect on human beings. The basic limit is expressed as the “Specific Absorption Rate” (SAR). Since it is hard to measure in practice, reference limits are preferred. In order to take the protection of highly sensitive people into account, the basic limit includes a safety margin."
Base station,NST,"Transmitting and receiving system for mobile communications, serving a limited area (radio cell)."
BEMFV,NST,Regulation on the procedure for providing evidence of the limitation of electromagnetic fields.
BfS,NST,Bundesamt für Strahlenschutz (Federal Office for Radiation Protection).
Big Data,NST,"Big data refers to huge amounts of data which cannot be processed or can only be processed poorly using standard databases and data management tools. This data can, however, be stored and analyzed using suitable IT applications. Enterprises can, for instance, analyze forum contributions on the Internet, or internal operating and machine data in order to optimize their strategy as well as structures and processes."
BlmSchV,NST,Bundesimmissionsschutzverordnung Federal immission control ordinance (EMF Ordinance in Germany).
Bitstream Access,NST,Wholesale service used by alternative telephone companies to provide broadband lines.
Bluetooth,NST,"A Personal Area Network standard whose main features were set out as early as 1994 when engineer Japp Haartsen and his employer, Ericsson, were tasked with developing a radio link between headsets and cell phones.In 1997, the Cable Replacement Standard which resulted from this work was named in honor of Danish Viking King Harald Bluetooth (915 to 968)."
BMUB,NST,"Bundesministerium für Umwelt, Naturschutz, Bau und Reaktorsicherheit (Federal Ministry for the Environment, Nature Conservation, Building and Nuclear Safety). Short form: Bundesumweltministerium (Federal Environment Ministry)."
